id,type,preferred_day,preferred_start,duration
81,CLUB,5,10,1
82,CLUB,5,8,2
83,CLUB,6,0,1
84,CLUB,4,6,3
85,CLUB,2,7,2
86,CLUB,0,0,3
87,CLUB,5,5,1
88,CLUB,2,4,2
89,CLUB,2,0,2
90,CLUB,2,0,3
91,CLUB,0,7,3
92,CLUB,4,7,2
93,CLUB,6,3,2
94,CLUB,6,6,2
95,CLUB,2,6,1
96,CLUB,2,6,3
97,CLUB,5,2,3
98,CLUB,0,9,3
99,CLUB,3,2,2
100,CLUB,3,5,1
101,CLUB,6,0,3
102,CLUB,5,8,2
103,CLUB,2,4,2
104,CLUB,0,1,2
105,CLUB,4,0,2
106,CLUB,0,0,1
107,CLUB,3,2,3
108,CLUB,6,8,3
109,CLUB,2,8,2
110,CLUB,0,3,1
111,CLUB,4,3,2
112,CLUB,2,4,2
113,CLUB,5,3,1
114,CLUB,3,10,1
115,CLUB,5,6,3
116,CLUB,6,7,3
117,CLUB,0,7,2
118,CLUB,3,4,3
119,CLUB,0,2,2
120,CLUB,1,0,3
121,FREE,6,5,1
122,FREE,6,8,1
123,FREE,6,1,1
124,FREE,6,7,1
125,FREE,6,8,1
126,FREE,6,3,1
127,FREE,5,0,1
128,FREE,5,5,1
129,FREE,5,4,1
130,FREE,5,0,1
131,FREE,5,8,1
132,FREE,6,9,1
133,FREE,6,5,1
134,FREE,5,8,1
135,FREE,6,2,1
136,FREE,6,8,1
137,FREE,5,5,1
138,FREE,6,10,1
139,FREE,6,1,1
140,FREE,5,9,1
141,FREE,6,6,1
142,FREE,5,8,1
143,FREE,5,9,1
144,FREE,6,0,1
145,FREE,6,10,1
146,FREE,6,2,1
147,FREE,6,9,1
148,FREE,5,4,1
149,FREE,6,7,1
150,FREE,6,7,1
151,FREE,5,9,1
152,FREE,5,7,1
153,FREE,5,4,1
154,FREE,6,6,1
155,FREE,6,9,1
156,FREE,6,5,1
157,FREE,5,1,1
158,FREE,5,11,1
159,FREE,6,3,1
160,FREE,6,5,1
161,FREE,6,10,1
162,FREE,6,1,1
163,FREE,5,4,1
164,FREE,5,6,1
165,FREE,6,3,1
166,FREE,6,8,1
167,FREE,5,1,1
168,FREE,6,6,1
169,FREE,5,9,1
170,FREE,5,2,1
171,HARD,12,0,4
172,HARD,8,3,4
173,HARD,13,7,3
174,HARD,10,7,3
175,HARD,12,4,3
176,HARD,8,1,3
177,HARD,12,6,4
178,HARD,7,5,4
179,SOFT,12,0,4
180,SOFT,12,7,3
181,SOFT,11,8,3
182,SOFT,9,5,3
183,SOFT,7,7,3
184,SOFT,11,5,3
185,SOFT,9,7,3
186,SOFT,8,4,4
187,SOFT,13,1,3
188,SOFT,7,3,4
189,SOFT,10,5,3
190,SOFT,8,3,3
191,TEACHING,9,7,2
192,TEACHING,11,1,2
193,TEACHING,10,10,2
194,TEACHING,9,10,2
195,TEACHING,7,4,2
196,TEACHING,7,4,2
197,TEACHING,10,2,2
198,TEACHING,7,2,2
199,TEACHING,10,2,2
200,TEACHING,10,1,2
201,TEACHING,11,0,2
202,TEACHING,8,9,2
203,TEACHING,11,0,2
204,TEACHING,7,3,2
205,TEACHING,10,6,2
206,TEACHING,8,4,2
207,TEACHING,10,8,2
208,TEACHING,8,0,2
209,TEACHING,7,8,2
210,TEACHING,10,2,2
211,TEACHING,9,10,2
212,TEACHING,8,9,2
213,TEACHING,9,0,2
214,TEACHING,7,5,2
215,TEACHING,7,7,2
216,TEACHING,7,6,2
217,TEACHING,8,0,2
218,TEACHING,11,1,2
219,TEACHING,10,5,2
220,TEACHING,8,0,2
221,TEACHING,10,0,2
222,TEACHING,9,8,2
223,TEACHING,8,7,2
224,TEACHING,9,0,2
225,TEACHING,8,9,2
226,TEACHING,11,5,2
227,TEACHING,8,2,2
228,TEACHING,10,10,2
229,TEACHING,7,7,2
230,TEACHING,10,10,2
231,TEACHING,10,8,2
232,TEACHING,7,5,2
233,TEACHING,8,1,2
234,TEACHING,9,2,2
235,TEACHING,9,8,2
236,TEACHING,11,7,2
237,TEACHING,10,2,2
238,TEACHING,8,3,2
239,TEACHING,7,4,2
240,TEACHING,9,4,2
241,TEACHING,9,7,2
242,TEACHING,7,8,2
243,TEACHING,10,2,2
244,TEACHING,9,5,2
245,TEACHING,10,9,2
246,TEACHING,11,5,2
247,TEACHING,8,3,2
248,TEACHING,10,7,2
249,TEACHING,11,10,2
250,TEACHING,9,10,2
251,CLUB,12,3,2
252,CLUB,12,6,2
253,CLUB,12,1,1
254,CLUB,11,9,1
255,CLUB,12,7,3
256,CLUB,12,5,3
257,CLUB,8,10,2
258,CLUB,7,8,3
259,CLUB,8,1,2
260,CLUB,8,0,2
261,CLUB,8,9,3
262,CLUB,13,6,2
263,CLUB,9,3,3
264,CLUB,8,3,3
265,CLUB,9,0,1
266,CLUB,9,8,1
267,CLUB,13,6,3
268,CLUB,11,10,1
269,CLUB,11,0,3
270,CLUB,12,0,1
271,CLUB,9,1,3
272,CLUB,9,8,3
273,CLUB,8,1,1
274,CLUB,12,6,1
275,CLUB,13,4,2
276,CLUB,13,5,2
277,CLUB,12,6,2
278,CLUB,7,10,1
279,CLUB,10,1,3
280,CLUB,11,5,1
281,CLUB,9,1,2
282,CLUB,11,10,1
283,CLUB,13,10,2
284,CLUB,12,1,2
285,CLUB,12,4,1
286,CLUB,7,7,3
287,CLUB,10,11,1
288,CLUB,7,7,1
289,CLUB,13,0,1
290,CLUB,12,2,3
291,FREE,13,2,1
292,FREE,12,10,1
293,FREE,12,3,1
294,FREE,13,2,1
295,FREE,12,9,1
296,FREE,13,11,1
297,FREE,12,3,1
298,FREE,13,11,1
299,FREE,13,2,1
300,FREE,13,9,1
301,FREE,12,2,1
302,FREE,12,3,1
303,FREE,13,2,1
304,FREE,12,1,1
305,FREE,13,7,1
306,FREE,12,10,1
307,FREE,12,9,1
308,FREE,13,6,1
309,FREE,13,11,1
310,FREE,13,6,1
311,FREE,12,1,1
312,FREE,13,3,1
313,FREE,13,5,1
314,FREE,13,2,1
315,FREE,13,11,1
316,FREE,12,9,1
317,FREE,13,0,1
318,FREE,12,8,1
319,FREE,13,10,1
320,FREE,12,10,1
321,FREE,13,11,1
322,FREE,13,8,1
323,FREE,12,5,1
324,FREE,13,1,1
325,FREE,12,0,1
326,FREE,13,9,1
327,FREE,12,7,1
328,FREE,12,9,1
329,FREE,12,11,1
330,FREE,13,0,1
331,FREE,13,8,1
332,FREE,13,9,1
333,FREE,13,7,1
334,FREE,12,5,1
335,FREE,13,7,1
336,FREE,12,11,1
337,FREE,12,6,1
338,FREE,12,8,1
339,FREE,13,9,1
340,FREE,13,2,1
