RequestID,Type,DesiredDay,DesiredSlot,Duration
118,Student Club,Tuesday,8,3
119,Student Club,Saturday,4,3
120,Student Club,Saturday,6,2
121,Free Exercise,Sunday,2,1
122,Free Exercise,Sunday,10,1
123,Free Exercise,Sunday,6,1
124,Free Exercise,Sunday,7,1
125,Free Exercise,Saturday,2,1
126,Free Exercise,Sunday,1,1
127,Free Exercise,Saturday,8,1
128,Free Exercise,Saturday,11,1
129,Free Exercise,Sunday,1,1
130,Free Exercise,Saturday,7,1
131,Free Exercise,Saturday,8,1
132,Free Exercise,Saturday,6,1
133,Free Exercise,Saturday,2,1
134,Free Exercise,Saturday,1,1
135,Free Exercise,Saturday,7,1
136,Free Exercise,Sunday,10,1
137,Free Exercise,Sunday,6,1
138,Free Exercise,Saturday,4,1
139,Free Exercise,Saturday,7,1
140,Free Exercise,Saturday,11,1
141,Free Exercise,Sunday,2,1
142,Free Exercise,Saturday,7,1
143,Free Exercise,Saturday,4,1
144,Free Exercise,Sunday,4,1
145,Free Exercise,Saturday,9,1
146,Free Exercise,Saturday,6,1
147,Free Exercise,Sunday,5,1
148,Free Exercise,Sunday,3,1
149,Free Exercise,Saturday,1,1
150,Free Exercise,Saturday,3,1
151,Free Exercise,Sunday,11,1
152,Free Exercise,Saturday,1,1
153,Free Exercise,Saturday,8,1
154,Free Exercise,Sunday,1,1
155,Free Exercise,Saturday,4,1
156,Free Exercise,Sunday,10,1
157,Free Exercise,Sunday,8,1
158,Free Exercise,Sunday,1,1
159,Free Exercise,Saturday,12,1
160,Free Exercise,Saturday,6,1
161,Free Exercise,Saturday,12,1
162,Free Exercise,Saturday,7,1
163,Free Exercise,Saturday,8,1
164,Free Exercise,Sunday,9,1
165,Free Exercise,Saturday,12,1
166,Free Exercise,Sunday,1,1
167,Free Exercise,Saturday,2,1
168,Free Exercise,Sunday,6,1
169,Free Exercise,Sunday,1,1
170,Free Exercise,Sunday,5,1
